country_id,date,value
52,1984-01-01,1.6
157,1984-01-01,4.9
469,1984-01-01,-7.6
183,1984-01-01,
708,1984-01-01,2.8
858,1984-01-01,9.4
195,1984-01-01,2.0
145,1984-01-01,4.0
294,1984-01-01,0.5
932,1984-01-01,1.4
72,1984-01-01,5.5
517,1984-01-01,2.1
500,1984-01-01,0.2
84,1984-01-01,6.3
767,1984-01-01,10.0
837,1984-01-01,2.7
997,1984-01-01,4.1
346,1984-01-01,3.8
312,1984-01-01,7.6
472,1984-01-01,-7.1
902,1984-01-01,
824,1984-01-01,3.2
665,1984-01-01,2.2
91,1984-01-01,3.0
831,1984-01-01,0.9
894,1984-01-01,4.5
480,1984-01-01,5.5
485,1984-01-01,
567,1984-01-01,1.6
484,1984-01-01,2.4
24,1984-01-01,10.6
499,1984-01-01,
392,1984-01-01,5.2
743,1984-01-01,
140,1984-01-01,6.4
751,1984-01-01,
41,1984-01-01,44.5
646,1984-01-01,4.8
360,1984-01-01,
822,1984-01-01,-8.3
218,1984-01-01,
235,1984-01-01,4.7
723,1984-01-01,
742,1984-01-01,1.8
715,1984-01-01,5.4
186,1984-01-01,7.8
892,1984-01-01,17.4
125,1984-01-01,2.4
338,1984-01-01,0.8
841,1984-01-01,
529,1984-01-01,
526,1984-01-01,4.8
92,1984-01-01,3.5
909,1984-01-01,
18,1984-01-01,
871,1984-01-01,5.9
273,1984-01-01,
515,1984-01-01,4.3
859,1984-01-01,-6.5
359,1984-01-01,
135,1984-01-01,
101,1984-01-01,
768,1984-01-01,9.7
790,1984-01-01,3.1
774,1984-01-01,6.9
211,1984-01-01,-1.6
859,1984-01-01,-16.8
555,1984-01-01,
680,1984-01-01,
16,1984-01-01,6.1
427,1984-01-01,13.9
282,1984-01-01,4.0
356,1984-01-01,
900,1984-01-01,2.7
205,1984-01-01,-1.0
644,1984-01-01,2.8
61,1984-01-01,3.8
256,1984-01-01,-7.3
616,1984-01-01,-0.4
775,1984-01-01,-1.0
913,1984-01-01,7.3
587,1984-01-01,16.0
465,1984-01-01,6.0
982,1984-01-01,
883,1984-01-01,13.0
