country_id,date,population,country_id_hash
8163,1985-01-01,235146182,23866298
8338,1985-01-01,3024218,81805174
7220,1985-01-01,18063201,30060703
9145,1985-01-01,133119,64742281
4005,1985-01-01,17402304,97660441
6369,1985-01-01,59811313,2524380
7483,1985-01-01,150190,66644440
7872,1985-01-01,11036918,36875289
9480,1985-01-01,6686449,34664177
2658,1985-01-01,8690515,15422656
2050,1990-01-01,10694796,82099438
5181,1990-01-01,3295066,26100560
4586,1990-01-01,25518074,88531968
9350,1990-01-01,47818,10425951
9230,1990-01-01,53569,64265922
9448,1990-01-01,11828638,82060110
5604,1990-01-01,8316,91506655
8745,1990-01-01,63328,4535054
5231,1990-01-01,32637657,40732059
1972,1990-01-01,3556539,93738957
8217,1990-01-01,65712,60617172
7859,1990-01-01,17048003,59491633
5484,1990-01-01,7678729,52291310
2557,1990-01-01,7427836,98711688
3976,1990-01-01,270679,56453427
5160,1990-01-01,517418,80217975
3421,1990-01-01,107147651,42680327
8963,1990-01-01,258868,68313405
4288,1990-01-01,10428525,79052619
2934,1990-01-01,9959560,80959
1945,1990-01-01,182589,47222930
5854,1990-01-01,5133419,12930379
5017,1990-01-01,57470,85701576
5833,1990-01-01,558442,21650059
8863,1990-01-01,7096194,8178979
2086,1990-01-01,4494310,33289842
6025,1990-01-01,1341474,33681694
5643,1990-01-01,150706446,50976533
8750,1990-01-01,15617,9951496
1038,1990-01-01,261928,27446300
4114,1990-01-01,8767778,77504937
3270,1990-01-01,9131361,68944829
5785,1990-01-01,5483793,81655156
1475,1990-01-01,8910808,52106740
2910,1990-01-01,11430520,10540412
4227,1990-01-01,27657204,72666860
5564,1990-01-01,364563,35433607
1710,1990-01-01,26027,667325
1420,1990-01-01,2809221,26243078
9053,1990-01-01,5827069,97319789
8151,1990-01-01,13342868,39935936
4783,1990-01-01,1153704252,31599265
8433,1990-01-01,32601393,30776375
2225,1990-01-01,431119,90211785
1998,1990-01-01,17123,55168376
5481,1990-01-01,3158253,82479466
9225,1990-01-01,4873707,7094523
5830,1990-01-01,10626680,3314720
5520,1990-01-01,788500,88666182
9936,1990-01-01,5144623,11777277
8382,1990-01-01,577173,25239866
