country_id,date,value,country_id_hash
205,1982-01-01,0.8,18531689
644,1982-01-01,-1.4,63043804
61,1982-01-01,-0.3,20435857
256,1982-01-01,3.6,94018219
616,1982-01-01,-4.8,33991446
775,1982-01-01,2.2,79084240
913,1982-01-01,-3.0,28657411
587,1982-01-01,-8.2,71578930
465,1982-01-01,3.9,69147221
982,1982-01-01,,97967226
883,1982-01-01,-2.5,66719615
948,1982-01-01,6.1,34145243
351,1982-01-01,2.1,32914211
43,1982-01-01,2.6,71836555
524,1982-01-01,-1.0,71286120
298,1982-01-01,,48636552
257,1982-01-01,-20.7,12951241
24,1982-01-01,7.8,64218719
738,1982-01-01,,18311676
763,1982-01-01,-2.1,93382838
340,1982-01-01,1.8,72545627
39,1982-01-01,7.1,54218556
334,1982-01-01,,45114489
135,1982-01-01,,71792468
558,1982-01-01,-1.7,70078248
983,1982-01-01,,60689257
467,1982-01-01,-0.4,53021696
71,1982-01-01,,90101268
839,1982-01-01,1.2,71448315
492,1982-01-01,5.2,81801560
162,1982-01-01,4.1,54790051
340,1982-01-01,-6.3,72545627
43,1982-01-01,1.4,71836555
389,1982-01-01,-1.3,33478187
643,1982-01-01,2.6,79648704
568,1982-01-01,3.1,64731112
720,1982-01-01,4.8,9348887
372,1982-01-01,,63171500
269,1982-01-01,0.6,61338997
663,1982-01-01,5.4,59404558
956,1982-01-01,,2608017
203,1982-01-01,-3.7,17739986
607,1982-01-01,12.8,76135334
98,1982-01-01,3.8,46305738
850,1982-01-01,-0.5,3985206
531,1982-01-01,,15428775
765,1982-01-01,,57282382
939,1982-01-01,3.4,30576306
170,1982-01-01,8.2,10315112
809,1982-01-01,,49251654
313,1982-01-01,-7.2,58384674
721,1982-01-01,1.7,3080831
476,1982-01-01,-1.8,59885057
879,1982-01-01,-9.4,78755218
758,1982-01-01,,64100421
655,1982-01-01,2.0,7577402
372,1982-01-01,2.6,63171500
39,1982-01-01,8.2,54218556
916,1982-01-01,,95082108
698,1982-01-01,,54064197
902,1982-01-01,-2.9,39900920
515,1982-01-01,,97595539
507,1983-01-01,,88466734
101,1983-01-01,1.1,33791314
581,1983-01-01,5.4,69873062
283,1983-01-01,,5892424
383,1983-01-01,4.2,84145927
492,1983-01-01,5.4,81801560
214,1983-01-01,3.7,25426021
944,1983-01-01,,80560406
686,1983-01-01,,90452541
145,1983-01-01,-0.5,20560328
907,1983-01-01,2.8,8220049
736,1983-01-01,,76220858
201,1983-01-01,6.8,70083219
768,1983-01-01,7.0,86898080
286,1983-01-01,4.0,85511984
377,1983-01-01,0.5,76898047
4,1983-01-01,4.3,6361900
587,1983-01-01,0.3,71578930
360,1983-01-01,6.1,97957390
473,1983-01-01,-2.0,88595042
259,1983-01-01,7.3,4053751
694,1983-01-01,-4.0,87749401
263,1983-01-01,,64879567
713,1983-01-01,10.8,96081803
108,1983-01-01,-3.4,84398603
5,1983-01-01,,70900693
574,1983-01-01,3.0,80278245
467,1983-01-01,-1.2,53021696
312,1983-01-01,3.7,57643641
549,1983-01-01,9.5,72282422
366,1983-01-01,,59805280
239,1983-01-01,6.8,52830773
443,1983-01-01,2.6,23013392
560,1983-01-01,-6.0,82422592
689,1983-01-01,15.7,47875248
367,1983-01-01,-2.8,18938828
441,1983-01-01,10.8,9991475
181,1983-01-01,1.6,41161672
640,1983-01-01,3.1,45387969
135,1983-01-01,1.4,71792468
366,1983-01-01,2.4,59805280
169,1983-01-01,2.9,74759091
815,1983-01-01,,15024232
966,1983-01-01,5.3,79476360
172,1983-01-01,,9318686
79,1983-01-01,-2.5,10652375
604,1983-01-01,2.6,37854619
175,1983-01-01,,83684836
683,1983-01-01,2.6,33288671
848,1983-01-01,4.6,93586470
852,1983-01-01,-2.8,8966224
646,1983-01-01,8.9,14679614
531,1983-01-01,1.5,15428775
217,1983-01-01,5.0,15068116
641,1983-01-01,,71050252
426,1983-01-01,,65445761
625,1983-01-01,-0.5,5544914
19,1983-01-01,7.8,6574532
208,1983-01-01,-4.2,6092745
68,1983-01-01,3.1,86772443
52,1983-01-01,1.2,76244680
157,1983-01-01,2.0,79102343
469,1983-01-01,13.5,79010487
183,1983-01-01,,17611223
708,1983-01-01,1.6,67210726
858,1983-01-01,-6.2,16247707
195,1983-01-01,-1.1,87250446
145,1983-01-01,3.3,20560328
294,1983-01-01,-2.5,93049851
932,1983-01-01,1.3,70052031
72,1983-01-01,-3.4,65527069
517,1983-01-01,-11.5,46046806
500,1983-01-01,-1.5,25876123
84,1983-01-01,0.9,43139873
767,1983-01-01,6.0,8880454
837,1983-01-01,0.7,86054092
997,1983-01-01,-2.2,96103666
346,1983-01-01,7.3,19145025
312,1983-01-01,4.2,57643641
472,1983-01-01,11.1,37521730
902,1983-01-01,,39900920
824,1983-01-01,-0.7,88902669
665,1983-01-01,2.6,1481878
91,1983-01-01,0.9,96746132
831,1983-01-01,4.2,73592048
894,1983-01-01,3.5,59501566
480,1983-01-01,1.4,25678534
485,1983-01-01,,67900430
567,1983-01-01,1.6,13424445
484,1983-01-01,-2.7,8909947
24,1983-01-01,13.4,64218719
499,1983-01-01,,91126019
392,1983-01-01,5.3,4832143
743,1983-01-01,,62804304
140,1983-01-01,3.0,1367353
751,1983-01-01,,91851388
41,1983-01-01,22.7,34187516
646,1983-01-01,3.0,14679614
360,1983-01-01,,97957390
822,1983-01-01,-4.7,36520093
218,1983-01-01,,59043983
235,1983-01-01,1.9,4448030
723,1983-01-01,,41888806
742,1983-01-01,0.9,8164667
715,1983-01-01,3.7,14715080
186,1983-01-01,6.3,18355348
892,1983-01-01,4.4,67199473
125,1983-01-01,3.2,15398877
338,1983-01-01,2.6,40243223
841,1983-01-01,,20377248
529,1983-01-01,,28812437
526,1983-01-01,0.4,99931138
92,1983-01-01,-4.6,77356048
909,1983-01-01,,72783508
18,1983-01-01,,56085795
871,1983-01-01,5.8,81170260
273,1983-01-01,,38766189
515,1983-01-01,-0.6,97595539
859,1983-01-01,-15.7,4930958
359,1983-01-01,,78845516
135,1983-01-01,,71792468
101,1983-01-01,,33791314
768,1983-01-01,-3.0,86898080
790,1983-01-01,1.8,80827534
774,1983-01-01,-0.1,6470595
211,1983-01-01,4.6,75229044
859,1983-01-01,-3.9,4930958
555,1983-01-01,,20929225
