country_id,date,population,start,end,current
3315,1955-01-01,9284895,01.01.1900,31.12.9999,1
7531,1955-01-01,10767906,01.01.1900,31.12.9999,1
5635,1955-01-01,69989,01.01.1900,31.12.9999,1
1811,1955-01-01,2140976,01.01.1900,31.12.9999,1
6130,1955-01-01,1539551,01.01.1900,31.12.9999,1
1507,1955-01-01,3018555,01.01.1900,31.12.9999,1
4777,1955-01-01,40839223,01.01.1900,31.12.9999,1
7875,1955-01-01,4673,01.01.1900,31.12.9999,1
4718,1955-01-01,10360269,01.01.1900,31.12.9999,1
6127,1955-01-01,1379140,01.01.1900,31.12.9999,1
1019,1955-01-01,7635,01.01.1900,31.12.9999,1
4283,1955-01-01,3429090,01.01.1900,31.12.9999,1
2939,1955-01-01,492416,01.01.1900,31.12.9999,1
5946,1955-01-01,41023128,01.01.1900,31.12.9999,1
7978,1955-01-01,8252,01.01.1900,31.12.9999,1
2232,1955-01-01,980004,01.01.1900,31.12.9999,1
6499,1955-01-01,1734921,01.01.1900,31.12.9999,1
8530,1955-01-01,1685747,01.01.1900,31.12.9999,1
2693,1955-01-01,8825897,01.01.1900,31.12.9999,1
1477,1955-01-01,23027910,01.01.1900,31.12.9999,1
7322,1955-01-01,27099199,01.01.1900,31.12.9999,1
4885,1955-01-01,8665451,01.01.1900,31.12.9999,1
7373,1955-01-01,2309782,01.01.1900,31.12.9999,1
3352,1955-01-01,28668,01.01.1900,31.12.9999,1
6771,1955-01-01,17455291,01.01.1900,31.12.9999,1
6070,1955-01-01,110971852,01.01.1900,31.12.9999,1
7426,1955-01-01,2537919,01.01.1900,31.12.9999,1
9065,1955-01-01,2130,01.01.1900,31.12.9999,1
9260,1955-01-01,88463,01.01.1900,31.12.9999,1
7092,1955-01-01,3538,01.01.1900,31.12.9999,1
3283,1955-01-01,98037,01.01.1900,31.12.9999,1
6251,1955-01-01,13967,01.01.1900,31.12.9999,1
7391,1955-01-01,3581910,01.01.1900,31.12.9999,1
5951,1955-01-01,2847262,01.01.1900,31.12.9999,1
1245,1955-01-01,6348547,01.01.1900,31.12.9999,1
3813,1955-01-01,39788,01.01.1900,31.12.9999,1
2946,1955-01-01,2135644,01.01.1900,31.12.9999,1
7069,1955-01-01,1267611,01.01.1900,31.12.9999,1
9088,1955-01-01,1973,01.01.1900,31.12.9999,1
3625,1955-01-01,3796626,01.01.1900,31.12.9999,1
5516,1955-01-01,1521772,01.01.1900,31.12.9999,1
9888,1955-01-01,117314,01.01.1900,31.12.9999,1
6544,1955-01-01,2529910,01.01.1900,31.12.9999,1
6951,1955-01-01,14594129,01.01.1900,31.12.9999,1
7514,1955-01-01,22075008,01.01.1900,31.12.9999,1
1955,1955-01-01,2695349,01.01.1900,31.12.9999,1
7526,1955-01-01,29095374,01.01.1900,31.12.9999,1
7632,1955-01-01,8749627,01.01.1900,31.12.9999,1
4452,1955-01-01,7193065,01.01.1900,31.12.9999,1
9954,1955-01-01,227145,01.01.1900,31.12.9999,1
9171,1955-01-01,7264351,01.01.1900,31.12.9999,1
9995,1955-01-01,5002410,01.01.1900,31.12.9999,1
9598,1955-01-01,3989101,01.01.1900,31.12.9999,1
1623,1955-01-01,9229462,01.01.1900,31.12.9999,1
8108,1955-01-01,1805209,01.01.1900,31.12.9999,1
5605,1955-01-01,8725576,01.01.1900,31.12.9999,1
3514,1955-01-01,23173970,01.01.1900,31.12.9999,1
8258,1955-01-01,437426,01.01.1900,31.12.9999,1
3763,1955-01-01,1518825,01.01.1900,31.12.9999,1
4810,1955-01-01,1629,01.01.1900,31.12.9999,1
7376,1955-01-01,58024,01.01.1900,31.12.9999,1
4402,1955-01-01,742576,01.01.1900,31.12.9999,1
2097,1955-01-01,3975544,01.01.1900,31.12.9999,1
3095,1955-01-01,23821353,01.01.1900,31.12.9999,1
6898,1955-01-01,1363507,01.01.1900,31.12.9999,1
6928,1955-01-01,5195,01.01.1900,31.12.9999,1
3793,1955-01-01,6601785,01.01.1900,31.12.9999,1
8670,1955-01-01,39836510,01.01.1900,31.12.9999,1
3348,1955-01-01,101803,01.01.1900,31.12.9999,1
8898,1955-01-01,51193266,01.01.1900,31.12.9999,1
8163,1955-01-01,161136449,01.01.1900,31.12.9999,1
8338,1955-01-01,2366209,01.01.1900,31.12.9999,1
7220,1955-01-01,7141923,01.01.1900,31.12.9999,1
9145,1955-01-01,56770,01.01.1900,31.12.9999,1
4005,1955-01-01,6752139,01.01.1900,31.12.9999,1
6369,1955-01-01,28263031,01.01.1900,31.12.9999,1
7483,1955-01-01,20690,01.01.1900,31.12.9999,1
7872,1955-01-01,5091603,01.01.1900,31.12.9999,1
9480,1955-01-01,2677209,01.01.1900,31.12.9999,1
2658,1955-01-01,3263625,01.01.1900,31.12.9999,1
2050,1960-01-01,8622466,01.01.1900,31.12.9999,1
5181,1960-01-01,1711189,01.01.1900,31.12.9999,1
4586,1960-01-01,11394307,01.01.1900,31.12.9999,1
9350,1960-01-01,20085,01.01.1900,31.12.9999,1
9230,1960-01-01,9443,01.01.1900,31.12.9999,1
9448,1960-01-01,5357195,01.01.1900,31.12.9999,1
5604,1960-01-01,5752,01.01.1900,31.12.9999,1
8745,1960-01-01,55342,01.01.1900,31.12.9999,1
5231,1960-01-01,20349744,01.01.1900,31.12.9999,1
1972,1960-01-01,1904148,01.01.1900,31.12.9999,1
8217,1960-01-01,54608,01.01.1900,31.12.9999,1
7859,1960-01-01,10286647,01.01.1900,31.12.9999,1
5484,1960-01-01,7046553,01.01.1900,31.12.9999,1
2557,1960-01-01,4131484,01.01.1900,31.12.9999,1
3976,1960-01-01,114500,01.01.1900,31.12.9999,1
5160,1960-01-01,160691,01.01.1900,31.12.9999,1
3421,1960-01-01,50396429,01.01.1900,31.12.9999,1
8963,1960-01-01,232550,01.01.1900,31.12.9999,1
4288,1960-01-01,8389183,01.01.1900,31.12.9999,1
2934,1960-01-01,9108724,01.01.1900,31.12.9999,1
1945,1960-01-01,91403,01.01.1900,31.12.9999,1
5854,1960-01-01,2512284,01.01.1900,31.12.9999,1
5017,1960-01-01,42026,01.01.1900,31.12.9999,1
5833,1960-01-01,221266,01.01.1900,31.12.9999,1
8863,1960-01-01,3707515,01.01.1900,31.12.9999,1
2086,1960-01-01,3262539,01.01.1900,31.12.9999,1
6025,1960-01-01,512865,01.01.1900,31.12.9999,1
5643,1960-01-01,44928342,01.01.1900,31.12.9999,1
8750,1960-01-01,7850,01.01.1900,31.12.9999,1
